start_id,end_id,relationship
137,3,BELONGS_TO
138,14,BELONGS_TO
139,9,BELONGS_TO
140,14,BELONGS_TO
141,10,BELONGS_TO
142,9,BELONGS_TO
143,5,BELONGS_TO
144,2,BELONGS_TO
145,8,BELONGS_TO
146,1,BELONGS_TO
147,9,BELONGS_TO
148,5,BELONGS_TO
149,5,BELONGS_TO
150,6,BELONGS_TO
151,8,BELONGS_TO
152,2,BELONGS_TO
153,6,BELONGS_TO
154,5,BELONGS_TO
155,14,BELONGS_TO
156,7,BELONGS_TO
157,5,BELONGS_TO
158,12,BELONGS_TO
159,3,BELONGS_TO
160,12,BELONGS_TO
161,2,BELONGS_TO
162,8,BELONGS_TO
163,7,BELONGS_TO
164,12,BELONGS_TO
165,14,BELONGS_TO
166,3,BELONGS_TO
167,4,BELONGS_TO
168,5,BELONGS_TO
169,7,BELONGS_TO
170,9,BELONGS_TO
171,6,BELONGS_TO
172,7,BELONGS_TO
173,2,BELONGS_TO
174,2,BELONGS_TO
175,15,BELONGS_TO
176,1,BELONGS_TO
177,10,BELONGS_TO
178,10,BELONGS_TO
179,1,BELONGS_TO
180,11,BELONGS_TO
181,8,BELONGS_TO
182,10,BELONGS_TO
183,4,BELONGS_TO
184,8,BELONGS_TO
185,9,BELONGS_TO
186,15,BELONGS_TO
187,12,BELONGS_TO
188,14,BELONGS_TO
189,15,BELONGS_TO
190,4,BELONGS_TO
191,3,BELONGS_TO
192,7,BELONGS_TO
193,15,BELONGS_TO
194,8,BELONGS_TO
195,10,BELONGS_TO
196,12,BELONGS_TO
197,1,BELONGS_TO
198,6,BELONGS_TO
199,4,BELONGS_TO
200,3,BELONGS_TO
201,1,BELONGS_TO
202,12,BELONGS_TO
203,11,BELONGS_TO
204,6,BELONGS_TO
205,15,BELONGS_TO
206,1,BELONGS_TO
207,11,BELONGS_TO
208,9,BELONGS_TO
209,11,BELONGS_TO
210,11,BELONGS_TO
211,11,BELONGS_TO
212,11,BELONGS_TO
213,7,BELONGS_TO
214,14,BELONGS_TO
215,10,BELONGS_TO
216,8,BELONGS_TO
217,9,BELONGS_TO
218,5,BELONGS_TO
219,5,BELONGS_TO
220,3,BELONGS_TO
221,6,BELONGS_TO
222,2,BELONGS_TO
223,7,BELONGS_TO
224,11,BELONGS_TO
225,10,BELONGS_TO
226,6,BELONGS_TO
227,8,BELONGS_TO
228,3,BELONGS_TO
229,14,BELONGS_TO
230,9,BELONGS_TO
231,7,BELONGS_TO
232,10,BELONGS_TO
233,10,BELONGS_TO
234,9,BELONGS_TO
235,11,BELONGS_TO
236,8,BELONGS_TO
237,4,BELONGS_TO
238,5,BELONGS_TO
239,10,BELONGS_TO
240,1,BELONGS_TO
241,4,BELONGS_TO
242,10,BELONGS_TO
243,11,BELONGS_TO
244,15,BELONGS_TO
245,5,BELONGS_TO
246,9,BELONGS_TO
247,5,BELONGS_TO
248,10,BELONGS_TO
249,5,BELONGS_TO
250,1,BELONGS_TO
